representation,query_sample_id,query_label,rank,gallery_sample_id,gallery_label,distance,correct
raw,query__sine__v0,sine,1,gallery__sine__v1,sine,0.1578276153184141,True
raw,query__sine__v0,sine,2,gallery__piecewise_linear__v1,piecewise_linear,0.2181419736240884,False
raw,query__sine__v0,sine,3,gallery__sine__v2,sine,0.22527597496816348,True
raw,query__sine__v0,sine,4,gallery__chirp__v1,chirp,0.24400927104134917,False
raw,query__sine__v0,sine,5,gallery__second_order_response__v0,second_order_response,0.2984214675900909,False
raw,query__sine__v0,sine,6,gallery__regime_change__v1,regime_change,0.30912860945326714,False
raw,query__sine__v0,sine,7,gallery__chirp__v2,chirp,0.3551437398267617,False
raw,query__sine__v0,sine,8,gallery__regime_change__v0,regime_change,0.3654680989905536,False
raw,query__sine__v0,sine,9,gallery__sine__v0,sine,0.37376013901749133,True
raw,query__sine__v0,sine,10,gallery__chirp__v0,chirp,0.3919206441093131,False
raw,query__sine__v0,sine,11,gallery__piecewise_linear__v0,piecewise_linear,0.3953795832613802,False
raw,query__sine__v0,sine,12,gallery__regime_change__v2,regime_change,0.43049573024352267,False
raw,query__sine__v0,sine,13,gallery__piecewise_linear__v2,piecewise_linear,0.43265463791024256,False
raw,query__sine__v0,sine,14,gallery__first_order_response__v0,first_order_response,0.4524678915045868,False
raw,query__sine__v0,sine,15,gallery__ramp__v0,ramp,0.45589517714251576,False
raw,query__sine__v0,sine,16,gallery__ramp__v1,ramp,0.4683870585217819,False
raw,query__sine__v0,sine,17,gallery__second_order_response__v1,second_order_response,0.6318642160693521,False
raw,query__sine__v0,sine,18,gallery__first_order_response__v1,first_order_response,0.6638539903219138,False
raw,query__sine__v0,sine,19,gallery__ramp__v2,ramp,0.7670545926978534,False
raw,query__sine__v0,sine,20,gallery__first_order_response__v2,first_order_response,1.3389567350647602,False
raw,query__sine__v0,sine,21,gallery__second_order_response__v2,second_order_response,1.5245270034147431,False
raw,query__sine__v1,sine,1,gallery__sine__v1,sine,0.12516674584843837,True
raw,query__sine__v1,sine,2,gallery__sine__v0,sine,0.1403945429372991,True
raw,query__sine__v1,sine,3,gallery__chirp__v0,chirp,0.23827517859179803,False
raw,query__sine__v1,sine,4,gallery__regime_change__v0,regime_change,0.26109841751857515,False
raw,query__sine__v1,sine,5,gallery__chirp__v1,chirp,0.26357036892871305,False
raw,query__sine__v1,sine,6,gallery__sine__v2,sine,0.325992119313102,True
raw,query__sine__v1,sine,7,gallery__regime_change__v1,regime_change,0.3877744692743664,False
raw,query__sine__v1,sine,8,gallery__piecewise_linear__v0,piecewise_linear,0.4072695181655803,False
raw,query__sine__v1,sine,9,gallery__chirp__v2,chirp,0.4805791508024713,False
raw,query__sine__v1,sine,10,gallery__piecewise_linear__v1,piecewise_linear,0.5143323907580007,False
raw,query__sine__v1,sine,11,gallery__second_order_response__v0,second_order_response,0.6209805326789023,False
raw,query__sine__v1,sine,12,gallery__regime_change__v2,regime_change,0.6556738228321318,False
raw,query__sine__v1,sine,13,gallery__first_order_response__v0,first_order_response,0.68292880674621,False
raw,query__sine__v1,sine,14,gallery__ramp__v0,ramp,0.6892868269582245,False
raw,query__sine__v1,sine,15,gallery__ramp__v1,ramp,0.8208502342270712,False
raw,query__sine__v1,sine,16,gallery__piecewise_linear__v2,piecewise_linear,0.8272195179859396,False
raw,query__sine__v1,sine,17,gallery__first_order_response__v1,first_order_response,1.2047984023635572,False
raw,query__sine__v1,sine,18,gallery__second_order_response__v1,second_order_response,1.2063211740933322,False
raw,query__sine__v1,sine,19,gallery__ramp__v2,ramp,1.3798468507709996,False
raw,query__sine__v1,sine,20,gallery__first_order_response__v2,first_order_response,1.903297674613654,False
raw,query__sine__v1,sine,21,gallery__second_order_response__v2,second_order_response,2.0737345652358345,False
raw,query__sine__v2,sine,1,gallery__sine__v2,sine,0.09439641862477943,True
raw,query__sine__v2,sine,2,gallery__chirp__v2,chirp,0.24853027368508834,False
raw,query__sine__v2,sine,3,gallery__sine__v1,sine,0.3256452575545345,True
raw,query__sine__v2,sine,4,gallery__regime_change__v2,regime_change,0.330066213940073,False
raw,query__sine__v2,sine,5,gallery__regime_change__v1,regime_change,0.3674114427663699,False
raw,query__sine__v2,sine,6,gallery__chirp__v1,chirp,0.4056224298017788,False
raw,query__sine__v2,sine,7,gallery__piecewise_linear__v2,piecewise_linear,0.4471766392765443,False
raw,query__sine__v2,sine,8,gallery__piecewise_linear__v1,piecewise_linear,0.5407463820378889,False
raw,query__sine__v2,sine,9,gallery__second_order_response__v1,second_order_response,0.6102388051841338,False
raw,query__sine__v2,sine,10,gallery__second_order_response__v0,second_order_response,0.637097039530158,False
raw,query__sine__v2,sine,11,gallery__sine__v0,sine,0.6577797810645297,True
raw,query__sine__v2,sine,12,gallery__regime_change__v0,regime_change,0.6734571795257257,False
raw,query__sine__v2,sine,13,gallery__chirp__v0,chirp,0.7591488744699607,False
raw,query__sine__v2,sine,14,gallery__piecewise_linear__v0,piecewise_linear,0.7638472176340144,False
raw,query__sine__v2,sine,15,gallery__ramp__v1,ramp,0.7653675426107539,False
